#{"t_start": 1732827226.3993359, "env_id": "None"}
r,l,t
-97.30034,3,0.679281
-93.09311,4,0.681143
-94.814644,7,0.686519
-84.06099,7,0.686563
-95.143906,5,0.690148
-98.9257,6,0.69019
-93.59142,11,0.694605
-90.2974,5,0.697067
-97.22312,3,0.697098
-98.493645,2,0.700837
-94.99068,6,0.702702
-80.275925,9,0.704559
-93.623405,3,0.706342
-71.217026,18,0.708244
-99.28504,2,0.710215
-92.496735,7,0.710239
-81.896736,6,0.71557
-77.993774,11,0.717528
-94.396614,6,0.717551
-95.36798,5,0.71934
-101.0,2,0.721243
-99.05436,5,0.721266
-93.75845,6,0.723037
-93.8626,5,0.726499
-101.98885,4,0.728296
-89.50395,8,0.730772
-90.509705,6,0.730803
-91.07373,5,0.732621
-100.579315,2,0.734393
-89.7642,5,0.73637
-101.0,2,0.736393
-84.06289,9,0.738141
-89.45807,6,0.74013
-101.0,2,0.740153
-100.37145,2,0.740172
-90.23392,4,0.741916
-101.0,2,0.743687
-97.32894,3,0.745546
-86.536,8,0.74557
-95.75862,3,0.747323
-88.242905,6,0.749185
-99.21904,2,0.749208
-91.89549,6,0.751099
-95.805504,3,0.751123
-91.82364,5,0.756053
-96.70178,4,0.757829
-85.5952,6,0.759647
-98.60701,3,0.761537
-95.53914,3,0.763344
-87.989,8,0.765133
-101.0,2,0.767226
-79.44229,13,0.767256
-95.0438,6,0.770902
-94.50162,3,0.77279
-89.45538,7,0.777903
-98.0621,4,0.784616
-93.6402,7,0.784641
-94.34846,3,0.789626
-48.578426,24,0.791472
-77.27815,16,0.795367
-69.59702,20,0.797366
-98.31203,5,0.799312
-64.848755,16,0.799342
-96.56135,6,0.803151
-101.0,2,0.803187
-97.27398,3,0.803205
-89.74944,5,0.805301
-101.0,2,0.807491
-101.0,2,0.807522
-78.95784,13,0.80938
-98.20095,4,0.81324
-95.5305,3,0.820086
-85.03407,7,0.823587
-93.55911,10,0.823611
-98.11399,2,0.827104
-97.41322,11,0.828988
-80.67227,11,0.829011
-99.13287,5,0.832786
-62.292885,17,0.83281
-97.51578,5,0.836395
-99.61284,2,0.836419
-89.06179,10,0.838227
-100.820145,6,0.839972
-91.587975,5,0.841866
-97.05398,3,0.841889
-96.61109,3,0.843637
-90.71774,5,0.845403
-95.0099,3,0.848905
-94.57382,11,0.848928
-88.2579,7,0.852345
-97.11167,3,0.854217
-96.62381,3,0.854241
-79.99789,8,0.856028
-101.0,2,0.857948
-92.68397,8,0.85992
-93.96577,3,0.859949
-101.0,2,0.864261
-83.54249,12,0.8643
-95.41572,3,0.864318
-98.866234,7,0.866218
-94.79966,4,0.86814
-98.184456,2,0.868165
-93.800804,3,0.870074
-96.433174,3,0.873454
-82.99632,10,0.875313
-97.54388,6,0.875336
-98.136536,2,0.878921
-94.21009,3,0.878944
-99.82006,6,0.878963
-96.289795,3,0.880846
-96.393555,6,0.880869
-97.95734,2,0.882781
-89.44888,9,0.882804
-101.0,2,0.884584
-88.56285,5,0.887952
-93.80182,4,0.889804
-97.21066,3,0.889827
-91.431175,6,0.89169
-90.461205,5,0.891713
-81.82175,9,0.895554
-99.36981,5,0.897367
-101.0,2,0.899124
-87.22952,7,0.902617
-98.79506,6,0.90264
-82.24884,8,0.904397
-101.0,2,0.907753
-92.60446,5,0.911209
-87.9641,11,0.911233
-99.06345,3,0.913021
-101.0,2,0.915007
-101.0,2,0.918783
-75.57071,11,0.918811
-97.02769,3,0.92217
-86.06789,13,0.92408
-94.6152,3,0.924103
-89.80137,5,0.92764
-79.71175,13,0.927664
-93.03637,4,0.929567
-97.00311,3,0.929592
-94.26986,3,0.933332
-101.0,2,0.933358
-96.41638,3,0.935193
-86.48966,5,0.937005
-64.7281,15,0.940471
-101.0,2,0.940495
-99.11034,5,0.942247
-98.92274,2,0.94411
-98.97356,6,0.944133
-99.41642,2,0.945972
-94.28357,3,0.945996
-86.11451,7,0.947889
-101.0,2,0.947912
-90.997955,4,0.95137
-63.637894,15,0.951393
-93.92088,3,0.953129
-90.93194,6,0.956463
-97.093254,3,0.958325
-93.310295,4,0.958348
-94.11164,7,0.960126
-93.99701,3,0.963557
-93.20127,4,0.967136
-95.73854,5,0.96716
