#{"t_start": 1732830348.7129197, "env_id": "None"}
r,l,t
-98.48329,2,0.661361
-94.08614,3,0.663518
-103.0,4,0.665495
-101.0,2,0.665521
-101.0,2,0.669027
-97.12679,7,0.671171
-97.192825,3,0.671204
-95.77995,7,0.671218
-82.472885,9,0.675104
-97.86178,2,0.675135
-92.03859,6,0.675148
-97.38606,3,0.675158
-98.078156,3,0.676952
-101.0,2,0.678715
-93.14039,4,0.682419
-98.829704,5,0.686958
-93.29912,4,0.68699
-97.259544,3,0.687003
-97.08487,3,0.692166
-96.10666,3,0.69219
-91.900154,11,0.693991
-98.53794,2,0.697799
-90.40754,6,0.697824
-82.5069,12,0.699592
-90.64887,7,0.704677
-99.58284,2,0.708375
-92.289665,5,0.708398
-88.7358,6,0.708412
-91.19564,7,0.710192
-97.642044,3,0.713616
-97.03501,3,0.715389
-96.74202,5,0.717165
-101.0,2,0.718939
-69.20757,21,0.722353
-97.038284,3,0.724134
-76.81041,11,0.727895
-101.0,2,0.731777
-64.23523,23,0.733586
-77.93163,12,0.735355
-94.09921,3,0.738893
-101.0,2,0.742047
-83.38455,12,0.742078
-101.0,2,0.744883
-84.21393,10,0.747703
-99.89174,12,0.750486
-89.24457,8,0.754177
-93.56294,6,0.75602
-80.32386,8,0.759537
-97.43877,2,0.75956
-79.208855,8,0.761471
-94.26792,4,0.761494
-97.05107,3,0.764969
-101.0,2,0.76837
-93.778,6,0.771869
-84.688286,13,0.771892
-92.08183,7,0.773683
-101.0,2,0.775574
-78.80731,14,0.775597
-100.387794,2,0.77735
-98.04752,2,0.779128
-80.731094,13,0.782749
-96.59515,3,0.782773
-94.24524,4,0.782785
-93.78532,3,0.784605
-97.13452,3,0.789811
-93.08036,4,0.791694
-74.99487,12,0.791718
-95.730865,6,0.795245
-99.51307,2,0.795268
-101.0,2,0.798761
-102.25636,8,0.800732
-70.32329,15,0.800755
-83.07449,8,0.804221
-101.0,2,0.811396
-91.13499,4,0.81143
-91.100395,7,0.811451
-94.20163,6,0.820699
-86.49165,12,0.8252
-101.199615,4,0.83072
-69.1419,13,0.853851
-101.99867,8,0.853907
-87.84233,6,0.860392
-97.66904,4,0.877955
-98.43603,5,0.883968
-96.07425,5,0.890846
-88.31237,12,0.890888
-97.65015,3,0.911434
-95.5871,7,0.923331
-71.85007,15,0.923372
-85.6385,7,0.927959
-55.55485,20,0.927983
-97.0408,3,0.931631
-94.22291,8,0.931654
-97.25663,3,0.931667
-96.689896,3,0.933449
-89.658516,4,0.935247
-83.0188,11,0.94184
-89.344,8,0.9452
-97.096016,3,0.946966
-101.0,2,0.948734
-88.14244,10,0.950657
-86.05312,11,0.950681
-86.89147,5,0.956013
-92.696754,3,0.956036
-71.573166,14,0.956049
-93.027084,4,0.956059
-69.257126,13,0.957839
-101.0,2,0.959736
-96.89139,5,0.959759
-101.0,2,0.961665
-94.345566,3,0.961689
-98.13297,2,0.963642
-93.1962,4,0.963668
-93.70335,4,0.967098
-93.03917,3,0.968888
-101.0,2,0.970793
-90.04323,5,0.970815
-99.77507,2,0.974204
-90.51439,8,0.976093
-98.65454,4,0.976116
-77.58736,13,0.979614
-89.20412,5,0.979638
-101.0,2,0.983034
-95.711754,3,0.984819
-97.511955,2,0.986813
-88.01864,7,0.986835
-69.11335,13,0.986848
-91.14934,7,0.988626
-101.0,2,0.992028
-95.01668,5,0.993809
-90.399765,5,0.997314
-97.334404,3,0.99909
-93.85018,9,1.004094
-88.949646,16,1.00595
-82.165146,10,1.005973
-99.0141,2,1.007848
-91.95459,8,1.009653
-93.45373,4,1.012983
-96.81258,5,1.014716
-95.24189,5,1.018054
-93.03587,4,1.019961
-101.0,2,1.023287
-91.41642,4,1.025047
-73.104416,17,1.026907
-74.04227,16,1.026929
-91.96996,8,1.028646
-97.038216,3,1.032178
-98.69553,3,1.032201
-101.0,2,1.032213
-97.97982,2,1.035702
-101.0,2,1.035725
-82.27823,8,1.03757
-82.60123,17,1.037592
-100.85935,2,1.039294
-94.53768,5,1.045824
-86.534195,5,1.047554
-95.17396,7,1.049294
-80.73182,15,1.051162
-87.53759,9,1.051184
-93.53121,3,1.053009
-93.19034,4,1.053031
-93.98142,4,1.056455
-101.0,2,1.056477
-96.7438,4,1.060005
-88.405945,6,1.062071
-67.65702,17,1.062099
-90.40757,8,1.065675
-95.09875,5,1.065698
-93.61673,6,1.06743
-100.36114,2,1.070765
-83.61325,6,1.072507
-78.7729,10,1.077507
-84.137474,7,1.077529
-90.52293,5,1.079365
-83.14851,10,1.079387
-99.70432,2,1.081336
-82.56871,9,1.081358
-101.0,2,1.08137
-94.37394,4,1.086401
-94.14957,4,1.086423
-93.09032,4,1.088147
-92.177246,5,1.09012
-89.48461,5,1.090155
-99.74145,2,1.090167
-101.0,2,1.091894
-97.00109,3,1.095241
-96.34249,5,1.100403
-93.92059,4,1.100428
-101.0,2,1.103747
-82.36172,8,1.105485
-97.41735,3,1.108804
-73.25405,22,1.11241
-83.70854,14,1.112433
-80.57099,10,1.114252
-97.22096,3,1.114275
-97.3429,3,1.117698
-98.50709,2,1.117721
-93.11991,4,1.119593
-93.35226,8,1.119616
-87.0997,13,1.123092
-96.687645,3,1.123115
-97.532875,3,1.124852
-91.98432,5,1.126579
-101.0,2,1.128317
-90.3398,6,1.13026
-93.91954,4,1.130282
-97.605225,2,1.130294
-87.893585,5,1.132023
-66.68653,12,1.135343
-93.82616,4,1.137208
-93.002655,4,1.13723
-101.0,2,1.138948
-100.89035,2,1.140692
-95.43945,3,1.14242
-90.46201,9,1.144152
-80.80115,9,1.145874
-99.93887,2,1.1477
-83.73065,9,1.147722
-103.057236,6,1.14944
-99.3719,2,1.151294
-91.86267,6,1.151315
-101.0,2,1.154623
-94.850105,4,1.156572
