#{"t_start": 1732831796.8032212, "env_id": "None"}
r,l,t
-98.118965,2,0.661556
-98.24951,2,0.661615
-97.52779,2,0.661629
-97.24636,3,0.663636
-95.29074,3,0.663667
-98.24951,2,0.665476
-90.79944,5,0.667486
-98.118965,2,0.667512
-94.457855,4,0.669333
-92.37071,4,0.671148
-92.022835,4,0.67317
-98.093994,2,0.673192
-92.37479,6,0.673204
-98.24951,2,0.676567
-93.97486,3,0.678471
-93.79403,3,0.682322
-98.24951,2,0.685827
-93.980385,5,0.687703
-78.661995,9,0.687726
-98.24951,2,0.689459
-97.34873,2,0.691313
-61.523506,14,0.693287
-72.084366,11,0.693309
-97.18216,3,0.693321
-96.02013,4,0.698637
-94.03376,3,0.698661
-95.95511,3,0.700449
-59.56642,18,0.702222
-96.33992,3,0.703949
-98.118965,2,0.705681
-83.20761,8,0.709094
-89.373245,7,0.711112
-86.72116,7,0.712866
-96.41634,3,0.714672
-82.08572,8,0.717997
-94.23618,3,0.719727
-98.24951,2,0.721548
-74.18593,15,0.72157
-91.72346,8,0.724862
-93.05716,4,0.728298
-98.118965,2,0.72832
-78.20041,10,0.730048
-85.59692,6,0.731773
-81.57675,8,0.733625
-98.118965,2,0.733651
-91.7051,4,0.735428
-97.63288,2,0.737188
-95.31128,3,0.738914
-95.182236,3,0.740746
-49.889503,20,0.740767
-98.24951,2,0.742591
-97.035065,3,0.742613
-97.63426,2,0.744351
-75.130844,11,0.747763
-98.118965,2,0.747784
-91.514694,5,0.749499
-98.07121,2,0.751363
-89.112236,5,0.751385
-98.118965,2,0.753207
-74.03664,12,0.753229
-90.496605,4,0.754941
-93.71062,3,0.756775
-98.22398,2,0.756797
-97.14916,3,0.758631
-80.530045,9,0.758653
-88.80551,5,0.760382
-96.788795,3,0.762293
-97.7121,2,0.764679
-92.555626,4,0.764708
-93.09214,4,0.76648
-91.78092,7,0.768314
-98.108734,3,0.768336
-98.24951,2,0.771865
-87.08754,7,0.771887
-93.71087,4,0.771899
-95.97041,5,0.775208
-94.206894,4,0.778742
-91.04182,6,0.778764
-84.68624,8,0.778776
-85.587364,6,0.782398
-93.717674,3,0.784258
-96.47722,3,0.78428
-98.24951,2,0.787606
-92.039566,4,0.789362
-78.71161,8,0.792961
-94.91601,3,0.792984
-72.69339,14,0.796279
-90.928604,5,0.798087
-76.36446,10,0.803303
-96.67446,3,0.803326
-87.62066,7,0.806844
-97.486115,2,0.806866
-92.40887,4,0.806878
-98.24951,2,0.810164
-97.149994,3,0.812249
-80.79283,10,0.812273
-94.62413,3,0.815776
-97.807365,2,0.815799
-36.433846,23,0.817667
-84.65939,8,0.817689
-97.81725,2,0.819414
-98.118965,2,0.821265
-95.92605,3,0.821287
-86.689285,6,0.823016
-98.24951,2,0.824714
-90.182884,6,0.828057
-91.30835,4,0.828078
-97.745346,3,0.82976
-86.78322,6,0.833102
-79.90851,9,0.83508
-93.59527,4,0.835103
-97.85081,3,0.835115
-66.435165,17,0.836792
-84.60633,6,0.838598
-97.7194,2,0.83862
-97.59668,3,0.840349
-91.235,5,0.842158
-94.27018,3,0.842179
-91.98588,5,0.844016
-98.24951,2,0.844037
-90.73112,4,0.845722
-97.625404,3,0.848938
-94.03249,3,0.850746
-87.32921,7,0.850768
-94.29337,6,0.852448
-93.1153,4,0.855797
-96.52211,3,0.855818
-93.51072,4,0.857503
-93.82168,3,0.860836
-76.02919,10,0.860857
-93.59456,4,0.862643
-76.526794,12,0.862664
-82.14756,8,0.865992
-95.69946,3,0.870837
-92.33405,5,0.870859
-84.314575,9,0.87256
-79.78418,9,0.876068
-81.95908,9,0.877767
-89.35917,6,0.881095
-98.24951,2,0.884319
-85.69523,8,0.886001
-56.19748,18,0.890823
-72.635086,10,0.894103
-84.41706,7,0.895787
-91.94006,4,0.897484
-66.42573,14,0.899201
-92.299286,5,0.904453
-97.2312,3,0.904484
-52.86496,21,0.907873
-88.55553,6,0.907895
-71.40085,13,0.909573
-96.02684,3,0.912891
-98.118965,2,0.916389
-90.9028,5,0.916411
-79.1024,10,0.921285
-96.8833,4,0.923123
-93.289116,4,0.923145
-98.24951,2,0.926552
-65.03419,15,0.92995
-90.888725,6,0.931739
-94.19277,5,0.931761
-55.336006,19,0.933515
-89.52191,6,0.937066
-96.23455,3,0.937089
-97.82296,2,0.937101
-94.04145,3,0.941994
-89.952705,6,0.942016
-85.01011,8,0.943748
-97.75239,3,0.947113
-85.488525,6,0.947134
-94.50245,4,0.950436
-77.355995,9,0.952133
-97.42072,2,0.953882
-86.208916,5,0.955578
-88.81138,6,0.957376
-93.66429,4,0.959097
-98.118965,2,0.962719
-88.23083,5,0.962741
-92.24309,4,0.962752
-97.70487,3,0.962761
-72.66165,13,0.964487
-98.118965,2,0.966187
-97.54379,3,0.968049
-98.118965,2,0.96807
-95.941246,4,0.969892
-90.29344,4,0.969913
-98.24951,2,0.971722
-97.99483,2,0.971743
-91.16837,4,0.973486
-15.63089,40,0.97848
-97.54296,5,0.978502
-92.03566,4,0.978514
-88.78256,5,0.980199
-98.24951,2,0.981991
-98.24951,2,0.982013
-78.85798,8,0.983835
-95.13619,3,0.983856
-97.80121,2,0.985534
-94.5126,4,0.990324
-80.873535,8,0.99357
-86.36672,7,0.995266
-87.218216,7,0.996975
-70.969124,17,1.001863
-86.72197,7,1.001884
-94.83747,3,1.008332
-68.639626,16,1.010017
-85.00801,6,1.013237
-73.445435,12,1.01505
-77.04824,11,1.015075
-98.24951,2,1.016809
-93.64404,5,1.018707
-93.19103,6,1.018728
-98.24951,2,1.018739
-98.24951,2,1.020403
-61.610134,14,1.02209
-98.118965,2,1.025564
-84.189766,6,1.028981
-89.931526,5,1.029003
-98.11763,2,1.032385
-97.36276,2,1.032406
-72.62732,9,1.034138
-73.48171,12,1.035868
-98.24951,2,1.037567
-91.74964,4,1.042321
-84.242775,8,1.045656
-98.12866,2,1.045677
-90.129364,6,1.047611
-81.14506,13,1.047632
-79.42865,9,1.047644
-94.206894,4,1.052423
-91.26967,4,1.054369
-97.33164,4,1.05439
-93.43945,5,1.054401
-89.493645,5,1.06101
-93.09897,4,1.061031
-93.587425,4,1.061043
-93.046036,5,1.062822
-85.72236,9,1.062843
-98.24951,2,1.064768
-34.100296,27,1.064788
-98.24951,2,1.0648
-96.82086,3,1.066477
-98.118965,2,1.06827
-94.114334,3,1.068291
-95.386635,3,1.070181
-97.573715,2,1.070202
-94.042656,4,1.070213
-98.24951,2,1.07189
-98.118965,2,1.073701
-98.1108,2,1.073722
-86.59321,7,1.077149
-95.943535,5,1.07717
-92.59195,4,1.077181
-97.64652,2,1.080597
-93.474106,4,1.080618
-87.708855,5,1.08063
-97.48526,2,1.083942
-92.94458,4,1.083963
-97.6754,3,1.085635
-97.77681,2,1.087321
-98.24951,2,1.089066
-86.64137,6,1.093808
-91.86856,4,1.095488
-78.04702,10,1.097175
-80.79686,13,1.09906
-67.30918,15,1.099082
-97.072334,3,1.099093
-98.24951,2,1.100792
-90.32536,4,1.105644
-74.62312,11,1.105665
-88.099556,5,1.109113
-91.56929,5,1.109135
-89.07551,5,1.110915
-98.118965,2,1.110936
-98.24951,2,1.114152
-92.46838,5,1.117399
-96.49191,4,1.120727
-84.46282,7,1.122529
-85.92365,8,1.12255
-98.24951,2,1.124344
-95.31704,4,1.124365
-98.06307,2,1.126418
-97.89512,2,1.128095
-94.50266,4,1.131454
-66.40101,15,1.133299
-93.828384,3,1.133322
-95.66005,5,1.135267
-94.66523,3,1.140465
-92.61083,5,1.14049
-94.10945,4,1.140502
-90.842705,5,1.142197
-71.59778,12,1.144039
-98.118965,2,1.144061
-98.118965,2,1.145802
-91.21124,4,1.147542
-94.209984,3,1.150815
-98.118965,2,1.154105
-35.81095,34,1.156121
-89.74818,7,1.156142
-84.006004,9,1.156154
-87.57096,7,1.156163
-98.06405,2,1.159412
-91.41966,4,1.162731
-86.69188,9,1.162753
-92.63995,5,1.164455
-82.857605,8,1.167682
-88.4985,6,1.169479
-91.6797,4,1.1695
-92.83693,5,1.171289
-98.01944,2,1.171311
-98.24951,2,1.172998
-76.12088,11,1.174785
-91.1548,6,1.174806
-95.82203,3,1.176492
-97.389114,2,1.179829
-96.905266,3,1.179851
-93.4327,5,1.183178
-88.482895,6,1.183199
-93.50969,5,1.191017
-64.08797,14,1.192805
-84.199135,8,1.192827
-95.12354,3,1.197622
-53.915478,17,1.199326
-90.65093,5,1.205694
-71.32147,16,1.210758
-75.02112,11,1.21078
-62.546856,20,1.214114
-77.476944,12,1.214135
-98.24951,2,1.217465
-96.66871,4,1.217487
-73.889084,10,1.224017
-91.64575,5,1.226029
-73.95142,15,1.226051
-92.561424,6,1.227819
-74.39669,11,1.229517
-96.05341,3,1.232908
-98.146286,2,1.23293
-88.788895,6,1.234815
-93.48663,5,1.234842
-98.118965,2,1.236847
-98.118965,2,1.236869
-89.28949,6,1.23688
-97.77553,3,1.240358
-98.118965,2,1.240379
-58.349014,15,1.240391
-93.37989,3,1.242273
-97.23918,4,1.242294
-95.62937,3,1.242305
-98.118965,2,1.244026
-98.24951,2,1.245711
-93.82307,4,1.247442
-87.93935,5,1.250709
-92.70743,4,1.252511
-91.6916,6,1.252532
-86.59415,6,1.254265
-94.22101,3,1.256069
-78.08815,9,1.256089
-97.87116,3,1.260873
-90.508026,5,1.264122
-81.22811,9,1.267355
-98.24951,2,1.270802
-94.38135,4,1.270823
-87.09777,6,1.270834
-98.118965,2,1.274053
-60.173977,17,1.275743
-69.329124,14,1.277565
-97.78697,2,1.277586
-89.68643,5,1.279281
-96.05595,3,1.282523
-98.20018,3,1.28422
-93.635635,5,1.286029
-86.82173,6,1.28605
-78.16203,10,1.287843
-96.231705,3,1.287864
-36.61687,23,1.291145
-86.58345,6,1.294375
-87.2838,6,1.296052
-90.050224,6,1.297855
-85.36561,7,1.297876
-88.50869,7,1.299552
-87.19062,6,1.30138
-97.18962,3,1.301402
-98.24951,2,1.304751
