#{"t_start": 1732834778.5374675, "env_id": "None"}
r,l,t
-96.0,2,0.693933
-96.0,2,0.694003
-88.0,4,0.698042
-88.0,4,0.698078
-92.0,3,0.699996
-88.0,4,0.701854
-92.0,3,0.703959
-68.0,9,0.707574
-80.0,6,0.709774
-88.0,4,0.712616
-60.0,11,0.712649
-96.0,2,0.712669
-80.0,6,0.714609
-68.0,9,0.71809
-96.0,2,0.718114
-88.0,4,0.719904
-84.0,5,0.72191
-96.0,2,0.721933
-88.0,4,0.725421
-76.0,7,0.725445
-92.0,3,0.727248
-96.0,2,0.730855
-84.0,5,0.732642
-92.0,3,0.734421
-52.0,13,0.736181
-88.0,4,0.738047
-68.0,9,0.738071
-76.0,7,0.739906
-92.0,3,0.741702
-92.0,3,0.743721
-92.0,3,0.743744
-96.0,2,0.743762
-76.0,7,0.745574
-88.0,4,0.748965
-68.0,9,0.750722
-84.0,5,0.752469
-92.0,3,0.755911
-88.0,4,0.755934
-96.0,2,0.759894
-64.0,10,0.762386
-96.0,2,0.766317
-72.0,8,0.768229
-56.0,12,0.768253
-96.0,2,0.770026
-96.0,2,0.772013
-96.0,2,0.772037
-80.0,6,0.772054
-36.0,17,0.775428
-92.0,3,0.777334
-92.0,3,0.777358
-92.0,3,0.781155
-80.0,6,0.781178
-52.0,13,0.781196
-96.0,2,0.78121
-88.0,4,0.784745
-96.0,2,0.78477
-96.0,2,0.788341
-68.0,9,0.788368
-92.0,3,0.790286
-84.0,5,0.790309
-96.0,2,0.792343
-80.0,6,0.792366
-80.0,6,0.792383
-96.0,2,0.79415
-96.0,2,0.796074
-88.0,4,0.796097
-88.0,4,0.799454
-84.0,5,0.801315
-80.0,6,0.801338
-88.0,4,0.803349
-80.0,6,0.805347
-84.0,5,0.805371
-92.0,3,0.808887
-84.0,5,0.808909
-96.0,2,0.812404
-80.0,6,0.812427
-68.0,9,0.817591
-76.0,7,0.817614
-76.0,7,0.817632
-84.0,5,0.821037
-80.0,6,0.822934
-92.0,3,0.822957
-92.0,3,0.826335
-80.0,6,0.828465
-92.0,3,0.828501
-80.0,6,0.828519
-92.0,3,0.828537
-96.0,2,0.833662
-96.0,2,0.83723
-88.0,4,0.837253
-44.0,15,0.837271
-84.0,5,0.839031
-72.0,8,0.842427
-88.0,4,0.844794
-92.0,3,0.844818
-68.0,9,0.846637
-80.0,6,0.848443
-84.0,5,0.85184
-68.0,9,0.853703
-84.0,5,0.853726
-88.0,4,0.860199
-64.0,10,0.86196
-96.0,2,0.865304
-64.0,10,0.868667
-92.0,3,0.870426
-96.0,2,0.872202
-96.0,2,0.873971
-52.0,13,0.875957
-68.0,9,0.87598
-96.0,2,0.875999
-96.0,2,0.879356
-88.0,4,0.882934
-24.0,20,0.882957
-84.0,5,0.882974
-88.0,4,0.886356
-92.0,3,0.888129
-88.0,4,0.890026
-72.0,8,0.890049
0.0,26,0.891832
-88.0,4,0.893594
-96.0,2,0.896945
-84.0,5,0.898708
-96.0,2,0.900463
-96.0,2,0.902559
-72.0,8,0.902588
-68.0,9,0.906415
-72.0,8,0.906439
-88.0,4,0.908327
-48.0,14,0.90835
-88.0,4,0.910163
-92.0,3,0.912432
-84.0,5,0.912456
-88.0,4,0.915989
-80.0,6,0.917976
-92.0,3,0.917999
-88.0,4,0.918016
-84.0,5,0.921475
-96.0,2,0.921498
-88.0,4,0.92332
-96.0,2,0.926824
-84.0,5,0.926847
-60.0,11,0.928668
-76.0,7,0.93054
-96.0,2,0.930563
-96.0,2,0.934065
-92.0,3,0.937464
-88.0,4,0.93934
-68.0,9,0.939363
-96.0,2,0.942866
-60.0,11,0.942889
-96.0,2,0.946736
-88.0,4,0.946761
-60.0,11,0.948777
-72.0,8,0.948801
-76.0,7,0.950643
-96.0,2,0.952537
-84.0,5,0.952559
-88.0,4,0.956018
-84.0,5,0.956041
-88.0,4,0.957912
-80.0,6,0.957935
-92.0,3,0.96129
-76.0,7,0.964632
-80.0,6,0.96811
-80.0,6,0.968133
-92.0,3,0.969896
-60.0,11,0.971776
-96.0,2,0.971798
-76.0,7,0.973555
-92.0,3,0.975317
-96.0,2,0.977183
-92.0,3,0.977206
-88.0,4,0.978999
-44.0,15,0.982455
-92.0,3,0.982477
-76.0,7,0.987417
-80.0,6,0.989191
-68.0,9,0.992567
-76.0,7,0.994491
-44.0,15,0.994514
-68.0,9,0.998087
-96.0,2,0.998111
-80.0,6,0.998128
-96.0,2,1.001582
-96.0,2,1.001605
-84.0,5,1.00351
-96.0,2,1.005346
-92.0,3,1.007105
-80.0,6,1.009126
-68.0,9,1.009149
-60.0,11,1.009166
-88.0,4,1.011029
-96.0,2,1.011052
-96.0,2,1.012927
-96.0,2,1.01295
-96.0,2,1.014716
-96.0,2,1.016524
-88.0,4,1.018393
-96.0,2,1.01842
-96.0,2,1.020237
-96.0,2,1.023753
-64.0,10,1.023776
-88.0,4,1.025599
-96.0,2,1.027374
-68.0,9,1.029217
-96.0,2,1.030997
-96.0,2,1.032769
-96.0,2,1.03628
-80.0,6,1.038032
-40.0,16,1.039798
-56.0,12,1.041777
-92.0,3,1.0418
-88.0,4,1.041818
-88.0,4,1.045178
-92.0,3,1.047455
-84.0,5,1.051073
-84.0,5,1.051096
-76.0,7,1.052993
-88.0,4,1.053016
-84.0,5,1.056595
-96.0,2,1.056617
-96.0,2,1.056635
-32.0,18,1.058413
-80.0,6,1.061757
-92.0,3,1.063618
-88.0,4,1.063654
-64.0,10,1.06863
-72.0,8,1.070509
-88.0,4,1.070532
-92.0,3,1.073912
-92.0,3,1.075699
-60.0,11,1.080857
-92.0,3,1.08088
-80.0,6,1.080899
-84.0,5,1.082713
-40.0,16,1.084592
-56.0,12,1.084615
-96.0,2,1.086486
-92.0,3,1.086509
-88.0,4,1.08826
-88.0,4,1.093197
-80.0,6,1.094979
-68.0,9,1.096747
-92.0,3,1.100216
-96.0,2,1.10024
-72.0,8,1.10202
-76.0,7,1.1059
-60.0,11,1.10593
-92.0,3,1.105947
-96.0,2,1.109358
-92.0,3,1.111138
-80.0,6,1.112911
-96.0,2,1.114895
-92.0,3,1.114917
-36.0,17,1.114935
-96.0,2,1.116807
-80.0,6,1.11683
-64.0,10,1.118758
-96.0,2,1.118781
-96.0,2,1.120644
-96.0,2,1.120667
-88.0,4,1.122606
-92.0,3,1.126317
-84.0,5,1.128154
-72.0,8,1.130136
-80.0,6,1.130159
-84.0,5,1.131973
-88.0,4,1.133727
-88.0,4,1.135539
-88.0,4,1.139159
-68.0,9,1.139184
-84.0,5,1.140957
-88.0,4,1.14612
-92.0,3,1.146143
-88.0,4,1.14616
-80.0,6,1.147933
-64.0,10,1.151419
-88.0,4,1.154788
-80.0,6,1.156554
-48.0,14,1.159897
-80.0,6,1.16207
-76.0,7,1.167154
-52.0,13,1.16892
-48.0,14,1.170681
-76.0,7,1.172428
-88.0,4,1.174493
-76.0,7,1.174516
-64.0,10,1.174534
-96.0,2,1.174549
-88.0,4,1.17632
-92.0,3,1.179775
-92.0,3,1.179798
-88.0,4,1.181565
-96.0,2,1.183362
-96.0,2,1.185142
-80.0,6,1.186913
-68.0,9,1.18869
-72.0,8,1.193643
-84.0,5,1.195427
-96.0,2,1.197268
-80.0,6,1.199044
-44.0,15,1.200807
-64.0,10,1.202577
-92.0,3,1.204842
-96.0,2,1.20487
-88.0,4,1.204888
-80.0,6,1.206825
-52.0,13,1.206848
-96.0,2,1.210349
-88.0,4,1.212132
-88.0,4,1.21878
-84.0,5,1.218803
-68.0,9,1.220582
-92.0,3,1.223967
-88.0,4,1.22588
-52.0,13,1.225903
-88.0,4,1.2326
-84.0,5,1.232623
-40.0,16,1.234395
-92.0,3,1.237855
-92.0,3,1.237879
-72.0,8,1.241431
-92.0,3,1.241455
-96.0,2,1.243245
-12.0,23,1.246631
-84.0,5,1.248502
-88.0,4,1.248525
-84.0,5,1.250379
-92.0,3,1.254072
-92.0,3,1.254096
-92.0,3,1.255831
-8.0,24,1.264164
-80.0,6,1.264187
-76.0,7,1.267865
-72.0,8,1.267888
-96.0,2,1.2679
-92.0,3,1.269651
-96.0,2,1.271488
-48.0,14,1.27151
-92.0,3,1.273373
-92.0,3,1.273395
-96.0,2,1.275135
-92.0,3,1.276863
-96.0,2,1.278609
-20.0,21,1.28045
-88.0,4,1.280472
-96.0,2,1.283999
-92.0,3,1.28402
-88.0,4,1.284032
-96.0,2,1.287337
-60.0,11,1.289072
-64.0,10,1.290902
-80.0,6,1.290924
-96.0,2,1.29275
-84.0,5,1.292772
-96.0,2,1.29619
-76.0,7,1.296212
-88.0,4,1.297922
-96.0,2,1.299866
-88.0,4,1.299888
-84.0,5,1.2999
-92.0,3,1.30162
-92.0,3,1.305396
-92.0,3,1.305424
-92.0,3,1.307221
-92.0,3,1.310742
-96.0,2,1.310764
-64.0,10,1.315768
-88.0,4,1.317521
-56.0,12,1.321053
-28.0,19,1.321076
-88.0,4,1.322959
-64.0,10,1.322981
-92.0,3,1.326299
-76.0,7,1.329746
-88.0,4,1.329768
-96.0,2,1.333238
-52.0,13,1.333261
-72.0,8,1.334983
-76.0,7,1.338427
-92.0,3,1.338449
-80.0,6,1.340348
-84.0,5,1.343729
-96.0,2,1.343751
-92.0,3,1.345503
-88.0,4,1.349008
-92.0,3,1.34903
-44.0,15,1.350873
-84.0,5,1.35274
-96.0,2,1.352763
-96.0,2,1.356244
-92.0,3,1.358584
-56.0,12,1.358607
-72.0,8,1.360415
-72.0,8,1.366982
-80.0,6,1.374464
-52.0,13,1.389225
-80.0,6,1.389251
-64.0,10,1.39701
-96.0,2,1.397035
-92.0,3,1.400986
-52.0,13,1.404997
-68.0,9,1.409126
-96.0,2,1.412692
-84.0,5,1.415365
-36.0,17,1.41717
-76.0,7,1.420754
-92.0,3,1.420778
-92.0,3,1.425996
-76.0,7,1.42602
-80.0,6,1.427852
-60.0,11,1.431418
-92.0,3,1.431442
-84.0,5,1.43501
-88.0,4,1.435034
-92.0,3,1.436859
-92.0,3,1.440412
-96.0,2,1.440436
-96.0,2,1.445572
-60.0,11,1.452256
-64.0,10,1.454072
-96.0,2,1.456126
4.0,27,1.45615
-80.0,6,1.456168
-92.0,3,1.461252
-84.0,5,1.463082
-84.0,5,1.465013
-96.0,2,1.465037
-4.0,25,1.466882
-96.0,2,1.468684
-96.0,2,1.470488
-96.0,2,1.472299
-32.0,18,1.474232
-96.0,2,1.474255
-60.0,11,1.476173
-96.0,2,1.476196
-76.0,7,1.477998
-68.0,9,1.479919
-96.0,2,1.479943
-92.0,3,1.481741
-92.0,3,1.483543
-80.0,6,1.485342
-88.0,4,1.487269
-88.0,4,1.487293
-92.0,3,1.489218
-88.0,4,1.489241
-92.0,3,1.491046
-88.0,4,1.494486
-96.0,2,1.498132
-80.0,6,1.498155
-84.0,5,1.498174
-76.0,7,1.501741
-80.0,6,1.501775
-40.0,16,1.503721
-92.0,3,1.503747
-96.0,2,1.505712
-88.0,4,1.505735
-92.0,3,1.507538
-96.0,2,1.509353
-76.0,7,1.511235
-96.0,2,1.511257
-76.0,7,1.516336
-60.0,11,1.522889
-68.0,9,1.524652
-68.0,9,1.52656
-96.0,2,1.526583
-48.0,14,1.530176
-60.0,11,1.530199
-72.0,8,1.530217
-84.0,5,1.533564
-92.0,3,1.535428
-84.0,5,1.535451
-88.0,4,1.537226
-80.0,6,1.540585
-96.0,2,1.544278
-84.0,5,1.544301
-84.0,5,1.545931
-80.0,6,1.545963
-96.0,2,1.549444
-56.0,12,1.549467
-72.0,8,1.552834
-92.0,3,1.554598
-84.0,5,1.558105
-72.0,8,1.559993
-92.0,3,1.560016
-68.0,9,1.562024
-96.0,2,1.563783
-60.0,11,1.565634
-88.0,4,1.567524
-72.0,8,1.567548
-96.0,2,1.569328
-84.0,5,1.575938
-84.0,5,1.577833
-60.0,11,1.577857
-80.0,6,1.58758
-68.0,9,1.592528
-40.0,16,1.594302
-56.0,12,1.596305
-96.0,2,1.596328
-28.0,19,1.596347
-96.0,2,1.599693
-68.0,9,1.603049
-84.0,5,1.605294
-84.0,5,1.605319
-4.0,25,1.605337
-76.0,7,1.607124
-88.0,4,1.612198
-76.0,7,1.612221
