#{"t_start": 1730344095.1382172, "env_id": "None"}
r,l,t
289.51767,200,1.042068
282.11227,200,1.04212
281.44537,200,1.042165
276.508,200,1.042175
274.23862,200,1.042187
278.9977,200,1.042196
282.30954,200,1.357609
280.962,200,1.357648
290.78098,200,1.357692
275.0609,200,1.357702
281.01773,200,1.357711
281.9066,200,1.35772
279.25928,200,1.699469
292.06534,200,1.699507
268.7371,200,1.699519
282.9917,200,1.699528
278.7729,200,1.699559
271.58255,200,1.699567
284.09604,200,2.011886
280.0043,200,2.011924
275.81058,200,2.011936
269.99216,200,2.011945
285.07913,200,2.011953
277.94513,200,2.011961
287.72845,200,2.326708
283.1402,200,2.326748
269.72125,200,2.32676
286.35452,200,2.326769
296.05792,200,2.326778
282.36716,200,2.326786
284.01767,200,2.667818
275.3005,200,2.667855
286.61182,200,2.667867
275.0147,200,2.667875
288.8921,200,2.667907
283.4091,200,2.667919
273.59772,200,2.981199
262.25616,200,2.981238
279.93182,200,2.981271
286.36896,200,2.98128
274.90152,200,2.981289
285.63095,200,2.981297
284.0348,200,3.304655
276.2724,200,3.304693
296.78806,200,3.304704
283.2853,200,3.304713
275.10028,200,3.304722
271.36505,200,3.30473
298.66443,200,3.647629
294.6281,200,3.647667
283.76553,200,3.647679
287.92706,200,3.647688
270.20813,200,3.64772
282.60922,200,3.647729
283.93997,200,3.964705
282.73178,200,3.964742
264.1886,200,3.964754
279.135,200,3.964787
279.4408,200,3.964796
295.27008,200,3.964804
287.22025,200,10.211478
282.67,200,10.211515
292.86526,200,10.211557
300.35907,200,10.211566
298.1436,200,10.211575
288.94907,200,10.211582
296.3148,200,10.551868
284.9567,200,10.551907
282.8056,200,10.551919
282.79123,200,10.551928
286.82025,200,10.551937
297.2469,200,10.551945
293.92935,200,10.867632
291.07993,200,10.867668
292.66074,200,10.86771
294.92737,200,10.86772
281.481,200,10.867728
283.6563,200,10.867739
273.60602,200,11.179686
289.32785,200,11.179724
291.45322,200,11.179767
285.26788,200,11.179776
288.08536,200,11.179784
286.19092,200,11.179792
283.36188,200,11.514874
285.9238,200,11.514911
288.84396,200,11.514939
294.3671,200,11.514948
282.64322,200,11.514956
285.21002,200,11.514964
293.34985,200,11.831432
281.9009,200,11.831472
285.51505,200,11.831484
279.89804,200,11.831498
289.9194,200,11.831509
285.9322,200,11.831517
276.48453,200,12.143033
290.74615,200,12.14307
286.21274,200,12.143098
297.65536,200,12.143107
298.2558,200,12.143115
289.12747,200,12.143123
288.96094,200,12.451837
287.7434,200,12.451874
288.56723,200,12.451885
287.03748,200,12.451894
298.22012,200,12.451926
279.6957,200,12.451934
289.66385,200,12.793129
271.97278,200,12.793167
282.8759,200,12.793209
292.9514,200,12.793218
289.15677,200,12.793226
284.18207,200,12.793234
296.1337,200,13.102008
290.0689,200,13.102045
284.29858,200,13.102057
295.70947,200,13.102065
288.65604,200,13.102098
281.7565,200,13.102105
285.81,200,19.988891
284.41342,200,19.988933
278.18604,200,19.988947
284.71713,200,19.988956
285.893,200,19.988965
282.82346,200,19.988973
292.0703,200,20.301536
281.23404,200,20.30159
289.5783,200,20.301604
283.7115,200,20.301613
298.89062,200,20.301621
291.5086,200,20.30163
302.26428,200,20.644347
294.7655,200,20.644383
283.25116,200,20.644395
282.92303,200,20.644404
290.22452,200,20.644412
289.15378,200,20.64442
292.5968,200,20.958398
300.2217,200,20.958435
289.4759,200,20.958462
292.55893,200,20.95847
293.25467,200,20.958479
293.45718,200,20.958487
299.83987,200,21.271111
300.45718,200,21.271163
286.29892,200,21.271176
296.27698,200,21.271185
289.6616,200,21.271193
300.89108,200,21.271201
303.1348,200,21.613478
296.38736,200,21.613518
292.68176,200,21.61353
287.7041,200,21.61354
289.07568,200,21.613548
286.19922,200,21.613556
296.46805,200,21.927545
289.4899,200,21.927582
283.4475,200,21.927609
287.62408,200,21.927618
279.54025,200,21.927626
297.70062,200,21.927634
292.5963,200,22.239891
300.54822,200,22.239928
288.9843,200,22.239969
299.34067,200,22.239979
297.48218,200,22.239987
300.53494,200,22.239995
289.41718,200,22.579418
303.08145,200,22.579457
284.7032,200,22.57947
298.0331,200,22.57948
296.92947,200,22.579489
305.01773,200,22.579497
304.99704,200,22.898183
300.07184,200,22.898221
292.57013,200,22.898234
300.38177,200,22.898242
294.6915,200,22.898274
282.28372,200,22.898283
294.20706,200,29.06347
298.6274,200,29.06351
289.1238,200,29.063526
296.99973,200,29.06354
294.35916,200,29.063553
299.81735,200,29.063568
307.42056,200,29.373071
310.5997,200,29.373111
301.54617,200,29.373126
300.38208,200,29.373139
295.83997,200,29.373155
301.63544,200,29.37317
299.50677,200,29.712742
299.4917,200,29.712782
299.4929,200,29.712798
291.01263,200,29.712811
288.4798,200,29.712828
303.75293,200,29.712843
308.4733,200,30.02225
294.62448,200,30.022289
296.75027,200,30.022305
314.6212,200,30.022318
294.2204,200,30.022333
308.32068,200,30.022348
302.2103,200,30.331863
302.44342,200,30.331901
296.11853,200,30.331917
301.3258,200,30.331929
301.67776,200,30.331944
292.42694,200,30.331959
299.85434,200,30.670137
297.62518,200,30.670178
306.85107,200,30.670194
296.3988,200,30.670207
289.5989,200,30.670221
302.20233,200,30.670236
297.27942,200,30.979848
300.1117,200,30.979888
304.1031,200,30.979903
298.18576,200,30.979916
309.09726,200,30.97993
301.02798,200,30.979944
300.26352,200,31.290546
304.4769,200,31.290585
294.6835,200,31.290599
303.50314,200,31.290612
294.53177,200,31.290626
299.0561,200,31.29064
305.08994,200,31.626962
305.16782,200,31.626999
303.37656,200,31.627016
301.96564,200,31.627028
301.7462,200,31.627043
308.9219,200,31.627058
293.30325,200,31.938328
299.62085,200,31.938366
302.6421,200,31.938381
299.72333,200,31.938395
301.18768,200,31.938409
293.89993,200,31.938425
302.97055,200,38.715488
295.58862,200,38.715528
291.88013,200,38.715544
298.4023,200,38.715558
297.88513,200,38.715573
299.34354,200,38.71559
302.0863,200,39.031953
298.30582,200,39.031992
295.52875,200,39.032005
315.7541,200,39.032014
302.42862,200,39.03204
293.19186,200,39.032048
301.08377,200,39.342464
294.8349,200,39.342501
306.33862,200,39.342512
293.94186,200,39.342521
298.17538,200,39.342553
299.2165,200,39.342561
291.70865,200,39.678349
296.27734,200,39.678388
307.33975,200,39.6784
306.43698,200,39.67841
307.54077,200,39.678418
297.80838,200,39.678426
312.9179,200,39.988506
295.91953,200,39.988559
302.69647,200,39.988571
313.36804,200,39.98858
305.51477,200,39.988589
300.53796,200,39.988596
294.33182,200,40.295624
294.7722,200,40.29566
303.72775,200,40.295672
323.0298,200,40.295699
298.75177,200,40.295708
296.34744,200,40.295716
286.40912,200,40.625373
297.6619,200,40.625411
303.3962,200,40.625439
304.3033,200,40.625448
297.38068,200,40.625457
298.27377,200,40.625465
299.5069,200,40.939556
302.56924,200,40.939594
294.02005,200,40.939605
302.80515,200,40.939614
307.77374,200,40.939621
303.0932,200,40.93963
287.2822,200,41.246852
308.23438,200,41.246888
301.125,200,41.246915
297.20782,200,41.246924
298.3771,200,41.246932
302.36224,200,41.24694
294.81833,200,41.553146
310.09473,200,41.553184
294.93857,200,41.553195
300.2239,200,41.553204
307.77588,200,41.553212
296.20712,200,41.55322
286.06207,200,41.891917
301.32272,200,41.891955
297.18546,200,41.891983
300.2105,200,41.891992
304.41263,200,41.892
295.30292,200,41.892009
303.02258,200,48.05209
301.92044,200,48.052128
304.7145,200,48.05214
301.2101,200,48.052149
299.17468,200,48.052157
301.9934,200,48.052165
301.25778,200,48.359366
301.36368,200,48.359403
310.30173,200,48.35943
301.10416,200,48.359439
301.46375,200,48.359448
309.44336,200,48.359456
299.73563,200,48.694222
300.24493,200,48.694281
294.20554,200,48.694296
307.86078,200,48.694304
296.2494,200,48.694313
295.10397,200,48.694322
311.36102,200,49.008419
301.89227,200,49.008458
302.6378,200,49.008471
307.09644,200,49.008479
310.18213,200,49.008487
306.08237,200,49.008495
302.05557,200,49.319225
310.79858,200,49.319263
307.0409,200,49.319274
310.18204,200,49.319283
307.4517,200,49.319291
303.85587,200,49.319312
311.0163,200,49.644479
296.5784,200,49.644516
297.24484,200,49.644528
309.34424,200,49.644542
315.64395,200,49.644557
310.80658,200,49.644567
296.15366,200,49.967172
301.59607,200,49.967211
311.4041,200,49.967222
314.7737,200,49.967231
308.21738,200,49.967239
308.79657,200,49.967247
299.88855,200,50.277921
300.89804,200,50.277958
308.63986,200,50.277971
303.31067,200,50.277979
302.24713,200,50.277987
310.44952,200,50.277996
308.55338,200,50.588796
312.94675,200,50.588834
301.19617,200,50.588845
304.94684,200,50.588855
303.2773,200,50.588863
306.67795,200,50.588871
292.92923,200,51.577321
306.08298,200,51.57736
295.91434,200,51.577373
303.5435,200,51.577382
307.316,200,51.57739
316.84677,200,51.577398
313.10794,200,57.766014
309.95895,200,57.766053
309.50912,200,57.766066
313.68463,200,57.766075
309.02133,200,57.766084
313.62335,200,57.766093
310.11194,200,58.079963
300.04346,200,58.080002
315.69333,200,58.080014
303.47656,200,58.080022
308.91635,200,58.080031
316.94644,200,58.080039
300.35797,200,58.391081
314.52338,200,58.391119
305.65628,200,58.391147
294.6724,200,58.391156
309.6728,200,58.391164
311.53198,200,58.391172
308.6468,200,58.729293
315.6791,200,58.729331
317.34628,200,58.729343
308.11395,200,58.729352
302.3989,200,58.72936
307.75235,200,58.729369
307.45682,200,59.046467
310.29886,200,59.046505
306.3069,200,59.046517
305.46982,200,59.046526
308.57437,200,59.046534
313.2963,200,59.046541
314.59613,200,59.358975
296.98303,200,59.359012
296.2879,200,59.35904
313.77567,200,59.359049
316.04846,200,59.359058
306.0158,200,59.359066
308.6033,200,59.682098
314.1545,200,59.682137
306.9522,200,59.682149
316.76926,200,59.682159
312.56863,200,59.682167
313.3878,200,59.682175
311.7718,200,60.008312
305.83945,200,60.008366
306.3643,200,60.008394
313.47232,200,60.008403
302.43243,200,60.008412
313.7585,200,60.00842
309.3178,200,60.321195
311.53748,200,60.321233
316.07312,200,60.321288
312.06067,200,60.321297
317.38678,200,60.321306
