#{"t_start": 1732828023.837874, "env_id": "None"}
r,l,t
-92.0,3,0.689395
-84.0,5,0.693451
-84.0,5,0.693495
-80.0,6,0.695343
-76.0,7,0.697349
-88.0,4,0.697377
-88.0,4,0.70099
-96.0,2,0.701022
-88.0,4,0.70295
-84.0,5,0.702977
-56.0,12,0.7064
-80.0,6,0.708194
-96.0,2,0.709991
-80.0,6,0.711797
-92.0,3,0.713623
-72.0,8,0.717214
-92.0,3,0.717238
-96.0,2,0.722611
-60.0,11,0.724417
-72.0,8,0.72621
-84.0,5,0.728035
-96.0,2,0.72997
-92.0,3,0.729993
-92.0,3,0.733635
-36.0,17,0.733669
-92.0,3,0.735516
-96.0,2,0.737414
-96.0,2,0.737436
-96.0,2,0.739525
-52.0,13,0.739565
-80.0,6,0.743397
-96.0,2,0.748268
-92.0,3,0.748303
-84.0,5,0.751872
-80.0,6,0.751894
-76.0,7,0.753681
-80.0,6,0.759283
-84.0,5,0.761069
-20.0,21,0.764843
-96.0,2,0.764866
-76.0,7,0.764881
-88.0,4,0.76679
-76.0,7,0.766813
-52.0,13,0.772853
-88.0,4,0.772888
-84.0,5,0.774705
-84.0,5,0.776731
-96.0,2,0.776754
-96.0,2,0.776766
-96.0,2,0.780273
-92.0,3,0.780295
-92.0,3,0.785329
-72.0,8,0.790509
-92.0,3,0.790532
-44.0,15,0.792328
-96.0,2,0.794389
-72.0,8,0.794412
-44.0,15,0.794424
-96.0,2,0.797954
-92.0,3,0.797976
-92.0,3,0.803035
-88.0,4,0.804806
-96.0,2,0.806595
-72.0,8,0.808426
-96.0,2,0.810262
-64.0,10,0.812099
-92.0,3,0.815696
-80.0,6,0.815729
-8.0,24,0.819221
-28.0,19,0.827177
-84.0,5,0.827216
-96.0,2,0.830871
-84.0,5,0.830906
-88.0,4,0.837901
-60.0,11,0.837943
-40.0,16,0.839783
-80.0,6,0.842022
-68.0,9,0.844021
-96.0,2,0.844047
-92.0,3,0.847753
-84.0,5,0.847787
-28.0,19,0.849742
-92.0,3,0.849769
-88.0,4,0.851609
-92.0,3,0.853598
-96.0,2,0.853626
-96.0,2,0.855529
